sample_id,style,gt_x,gt_y,v2_x,v2_y,v2_err,v4_x,v4_y,v4_err,v2_success,v4_success,best_pool_err,gt_in_pool_5px,n_candidates,changed_top1,v2_time_s,phase_time_s,dataset
dram_000,dram,758.37,821.72,758.56,821.5,0.29,758.56,821.5,0.29,True,True,0.29,True,28,False,0.75,0.0113,self_eval
dram_002,dram,163.13,585.3,163.14,585.27,0.03,163.14,585.27,0.03,True,True,0.03,True,29,False,0.697,0.0144,self_eval
dram_004,dram,943.8,406.57,943.78,406.56,0.02,943.78,406.56,0.02,True,True,0.02,True,30,False,0.678,0.0157,self_eval
dram_006,dram,417.84,349.2,418.18,349.47,0.43,418.18,349.47,0.43,True,True,0.43,True,24,False,0.681,0.0138,self_eval
dram_008,dram,446.86,703.75,446.97,703.71,0.12,619.64,261.37,474.92,True,False,0.12,True,32,True,0.689,0.0153,self_eval
dram_010,dram,723.74,395.78,724.07,396.1,0.46,724.07,396.1,0.46,True,True,0.46,True,27,False,0.66,0.0143,self_eval
dram_012,dram,221.26,291.39,221.31,291.3,0.1,188.93,486.86,198.13,True,False,0.1,True,31,True,0.635,0.0153,self_eval
dram_014,dram,264.38,509.53,264.42,509.48,0.06,264.42,509.48,0.06,True,True,0.06,True,34,False,0.662,0.0154,self_eval
dram_016,dram,166.82,874.45,166.76,874.52,0.09,166.76,874.52,0.09,True,True,0.09,True,30,False,0.696,0.0156,self_eval
dram_018,dram,635.26,610.42,635.33,610.49,0.1,635.33,610.49,0.1,True,True,0.1,True,27,False,0.68,0.0143,self_eval
dram_020,dram,477.45,883.12,477.5,883.11,0.05,477.5,883.11,0.05,True,True,0.05,True,27,False,0.681,0.0144,self_eval
dram_022,dram,186.65,465.39,186.48,465.38,0.17,186.48,465.38,0.17,True,True,0.17,True,30,False,0.673,0.0148,self_eval
dram_024,dram,125.53,909.85,125.57,909.73,0.13,125.57,909.73,0.13,True,True,0.13,True,27,False,0.686,0.0141,self_eval
dram_026,dram,32.93,35.16,32.84,35.17,0.09,142.53,49.49,110.53,True,False,0.09,True,31,True,0.661,0.0153,self_eval
dram_028,dram,433.08,102.06,433.08,101.7,0.36,433.08,101.7,0.36,True,True,0.36,True,27,False,0.658,0.0145,self_eval
finfet_001,finfet,587.56,422.23,591.95,422.14,4.39,591.95,422.14,4.39,True,True,4.39,True,8,False,6.411,0.0123,self_eval
finfet_003,finfet,934.38,434.48,934.38,434.34,0.14,934.38,434.34,0.14,True,True,0.14,True,13,False,5.721,0.0138,self_eval
finfet_005,finfet,800.16,479.56,800.13,479.58,0.04,800.13,479.58,0.04,True,True,0.04,True,9,False,5.985,0.0132,self_eval
finfet_007,finfet,570.44,75.97,570.45,76.04,0.07,570.45,76.04,0.07,True,True,0.07,True,13,False,6.161,0.015,self_eval
finfet_009,finfet,495.09,890.54,495.05,890.55,0.04,495.05,890.55,0.04,True,True,0.04,True,9,False,5.776,0.0127,self_eval
finfet_011,finfet,351.22,354.08,351.21,354.14,0.06,351.21,354.14,0.06,True,True,0.06,True,11,False,6.541,0.0152,self_eval
finfet_013,finfet,862.84,528.74,862.91,528.66,0.11,862.91,528.66,0.11,True,True,0.11,True,12,False,6.067,0.0135,self_eval
finfet_015,finfet,103.92,595.96,103.92,595.9,0.06,103.92,595.9,0.06,True,True,0.06,True,12,False,6.171,0.0143,self_eval
finfet_017,finfet,820.45,830.88,796.93,565.15,266.77,352.07,66.78,896.23,False,False,213.81,False,9,True,6.027,0.0127,self_eval
finfet_019,finfet,338.6,329.23,338.68,329.32,0.12,338.68,329.32,0.12,True,True,0.12,True,9,False,6.017,0.0121,self_eval
finfet_021,finfet,407.75,609.69,239.02,542.02,181.79,407.76,609.71,0.02,False,True,0.02,True,10,True,6.543,0.0126,self_eval
finfet_023,finfet,914.49,538.52,52.01,443.13,867.74,707.0,812.13,343.39,False,False,111.88,False,12,True,5.868,0.0136,self_eval
finfet_025,finfet,818.44,384.86,818.4,384.91,0.06,818.4,384.91,0.06,True,True,0.06,True,13,False,5.324,0.0138,self_eval
finfet_027,finfet,397.04,899.02,397.05,899.03,0.01,397.05,899.03,0.01,True,True,0.01,True,13,False,5.845,0.0137,self_eval
finfet_029,finfet,451.75,560.19,451.8,560.24,0.07,451.8,560.24,0.07,True,True,0.07,True,10,False,5.657,0.0128,self_eval
mixed_logic_000,mixed_logic,656.46,251.64,656.44,251.72,0.08,656.44,251.72,0.08,True,True,0.08,True,22,False,1.991,0.0148,ood_holdout
mixed_logic_001,mixed_logic,477.63,444.0,477.65,444.02,0.03,477.65,444.02,0.03,True,True,0.03,True,23,False,2.036,0.0141,ood_holdout
mixed_logic_002,mixed_logic,56.82,687.48,56.84,687.53,0.05,56.84,687.53,0.05,True,True,0.05,True,20,False,1.925,0.0134,ood_holdout
mixed_logic_003,mixed_logic,585.88,866.37,585.91,866.37,0.03,585.91,866.37,0.03,True,True,0.03,True,23,False,2.015,0.014,ood_holdout
mixed_logic_004,mixed_logic,692.38,551.56,692.32,551.63,0.09,692.32,551.63,0.09,True,True,0.09,True,24,False,1.96,0.0143,ood_holdout
mixed_logic_005,mixed_logic,646.58,733.8,646.59,733.77,0.03,646.59,733.77,0.03,True,True,0.03,True,22,False,1.843,0.0143,ood_holdout
mixed_logic_006,mixed_logic,473.07,720.36,473.09,720.25,0.11,473.09,720.25,0.11,True,True,0.11,True,21,False,1.95,0.0139,ood_holdout
mixed_logic_007,mixed_logic,493.96,765.56,493.98,765.5,0.06,493.98,765.5,0.06,True,True,0.06,True,24,False,1.932,0.0147,ood_holdout
mixed_logic_008,mixed_logic,941.92,307.94,941.96,307.92,0.04,941.96,307.92,0.04,True,True,0.04,True,21,False,1.898,0.0139,ood_holdout
mixed_logic_009,mixed_logic,514.4,412.67,514.34,412.75,0.1,514.34,412.75,0.1,True,True,0.1,True,23,False,1.906,0.0141,ood_holdout
