stat,reference,gt_value,false_mean,false_std,false_min,false_max,gt_rank_among_21,gt_percentile
mean,0.5017,0.5857,0.5791,0.0082,0.567,0.5952,5,75.0
std,0.2942,0.1895,0.1834,0.0029,0.1787,0.1889,0,100.0
local_var_of_block_means,0.0112,0.0141,0.0125,0.0006,0.0115,0.0142,1,95.0
grad_x_mean,0.0236,-0.0047,-0.0032,0.0045,-0.008,0.0069,9,55.0
grad_x_std,1.7939,0.7919,0.7668,0.0062,0.757,0.78,0,100.0
grad_y_mean,0.0012,0.0017,0.0002,0.0017,-0.0023,0.0041,3,85.0
grad_y_std,0.7013,0.5132,0.5017,0.0101,0.4853,0.5175,3,85.0
grad_mag_mean,1.7131,0.8252,0.8066,0.0068,0.792,0.8209,0,100.0
grad_mag_std,0.8807,0.4579,0.4348,0.0057,0.4244,0.4454,0,100.0
grad_orientation_entropy,1.6623,1.9583,1.9619,0.0055,1.9508,1.9719,15,25.0
edge_density,0.4436,0.4162,0.4207,0.0021,0.417,0.4257,20,0.0
laplacian_mean,0.0181,0.0021,0.0011,0.0048,-0.0036,0.0114,6,70.0
laplacian_std,2.3409,0.9603,0.9273,0.0094,0.9073,0.9392,0,100.0
laplacian_var,5.4797,0.9222,0.86,0.0173,0.8231,0.8821,0,100.0
intensity_skew,0.2872,0.6442,0.7017,0.0314,0.6292,0.751,19,5.0
intensity_kurtosis,-1.4937,-0.4831,-0.2972,0.0477,-0.4155,-0.2202,20,0.0
fft_mag_total_energy,8657860.0,3591581.75,3364015.8875,106066.0916,3195130.0,3567401.5,0,100.0
periodicity_peak_energy_fraction,0.5316,0.6211,0.6559,0.0103,0.6319,0.6708,20,0.0
phase_correlate_response,1.0,0.6468,0.0195,0.0422,-0.0645,0.098,0,100.0
phase_correlate_shift_mag,0.0,1.2914,8.4178,9.3075,0.5524,38.1016,19,5.0
